CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0043,0.0,100.0,0.0,0.0,0.0
CPU001,T0044,0.0,100.0,0.0,0.0,0.0
CPU001,T0045,0.0,100.0,0.0,0.0,0.0
CPU001,T0046,1.0,99.0,0.0,0.0,0.0
CPU001,T0047,0.0,100.0,0.0,0.0,0.0
CPU001,T0048,0.0,100.0,0.0,0.0,0.0
CPU001,T0049,0.0,100.0,0.0,0.0,0.0
CPU001,T0050,0.0,100.0,0.0,0.0,0.0
CPU001,T0051,0.0,100.0,0.0,0.0,0.0
CPU001,T0052,0.0,100.0,0.0,0.0,0.0
CPU001,T0053,0.0,100.0,0.0,0.0,0.0
CPU001,T0054,0.0,100.0,0.0,0.0,0.0
CPU001,T0055,0.0,100.0,0.0,0.0,0.0
CPU001,T0056,0.0,100.0,0.0,0.0,0.0
CPU001,T0057,0.0,100.0,0.0,0.0,0.0
CPU001,T0058,0.0,100.0,0.0,0.0,0.0
CPU001,T0059,0.0,100.0,0.0,0.0,0.0
CPU001,T0060,0.0,100.0,0.0,0.0,0.0
CPU001,T0061,0.0,100.0,0.0,0.0,0.0
CPU001,T0062,0.0,100.0,0.0,0.0,0.0
CPU001,T0063,0.0,100.0,0.0,0.0,0.0
CPU001,T0064,0.0,100.0,0.0,0.0,0.0
CPU001,T0065,1.0,99.0,0.0,0.0,0.0
CPU001,T0066,0.0,100.0,0.0,0.0,0.0
CPU001,T0067,0.0,100.0,0.0,0.0,0.0
CPU001,T0068,0.0,100.0,0.0,0.0,0.0
CPU001,T0069,0.0,100.0,0.0,0.0,0.0
CPU001,T0070,0.0,100.0,0.0,0.0,0.0
CPU001,T0071,0.0,100.0,0.0,0.0,0.0
CPU001,T0072,0.0,100.0,0.0,0.0,0.0
CPU001,T0073,0.0,100.0,0.0,0.0,0.0
CPU001,T0074,1.0,99.0,0.0,0.0,0.0
CPU001,T0075,1.0,99.0,0.0,0.0,0.0
CPU001,T0076,0.0,100.0,0.0,0.0,0.0
CPU001,T0077,0.0,100.0,0.0,0.0,0.0
CPU001,T0078,0.0,100.0,0.0,0.0,0.0
CPU001,T0079,0.0,100.0,0.0,0.0,0.0
CPU001,T0080,0.0,100.0,0.0,0.0,0.0
CPU001,T0081,0.0,100.0,0.0,0.0,0.0
CPU001,T0082,0.0,100.0,0.0,0.0,0.0
CPU001,T0083,0.0,100.0,0.0,0.0,0.0
CPU001,T0084,0.0,100.0,0.0,0.0,0.0
CPU001,T0085,0.0,100.0,0.0,0.0,0.0
CPU001,T0086,0.0,100.0,0.0,0.0,0.0
CPU001,T0087,1.0,99.0,0.0,0.0,0.0
CPU001,T0088,0.0,100.0,0.0,0.0,0.0
CPU001,T0089,0.0,100.0,0.0,0.0,0.0
CPU001,T0090,0.0,100.0,0.0,0.0,0.0
CPU001,T0091,0.0,100.0,0.0,0.0,0.0
CPU001,T0092,0.0,100.0,0.0,0.0,0.0
CPU001,T0093,0.0,100.0,0.0,0.0,0.0
CPU001,T0094,0.0,100.0,0.0,0.0,0.0
CPU001,T0095,0.0,100.0,0.0,0.0,0.0
CPU001,T0096,0.0,100.0,0.0,0.0,0.0
CPU001,T0097,1.0,99.0,0.0,0.0,0.0
CPU001,T0098,0.0,100.0,0.0,0.0,0.0
CPU001,T0099,0.0,100.0,0.0,0.0,0.0
CPU001,T0100,0.0,100.0,0.0,0.0,0.0
CPU001,T0101,0.0,100.0,0.0,0.0,0.0
CPU001,T0102,1.0,99.0,0.0,0.0,0.0
CPU001,T0103,0.0,100.0,0.0,0.0,0.0
CPU001,T0104,0.0,100.0,0.0,0.0,0.0
CPU001,T0105,0.0,100.0,0.0,0.0,0.0
CPU001,T0106,0.0,100.0,0.0,0.0,0.0
CPU001,T0107,1.0,99.0,0.0,0.0,0.0
CPU001,T0108,0.0,100.0,0.0,0.0,0.0
