Linux 5.10.198 (ubuntu2004) 	04/16/2026 	_aarch64_	(4 CPU)

06:33:38 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:44 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:45 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth0      1.00      0.00      0.33      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth2  51274.00   1603.00  70334.62    100.19      0.00      0.00      0.00     57.62
06:33:45 PM      eth3  68411.00      0.00 100612.27      0.00      0.00      0.00      0.00     82.42
06:33:45 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:45 PM      eth5  69034.00      0.00 100719.53      0.00      0.00      0.00      0.00     82.51
06:33:45 PM     wlan0      2.00      0.00      0.09      0.00      0.00      0.00      0.00      0.00

06:33:45 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:46 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth0      1.00      0.00      0.06      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth2  51165.00   1598.00  70184.99     99.88      0.00      0.00      0.00     57.50
06:33:46 PM      eth3  68099.00      0.00 100153.41      0.00      0.00      0.00      0.00     82.05
06:33:46 PM      eth4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:46 PM      eth5  69005.00      0.00 100677.22      0.00      0.00      0.00      0.00     82.47
06:33:46 PM     wlan0      5.00      0.00      0.95      0.00      0.00      0.00      0.00      0.00

06:33:46 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:47 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:47 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:47 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:47 PM      eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:47 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:47 PM      eth2  51541.00   1611.00  70701.21    100.69      0.00      0.00      0.00     57.92
06:33:47 PM      eth3  69116.00      0.00 101649.12      0.00      0.00      0.00      0.00     83.27
06:33:47 PM      eth4  33850.00     11.00  49766.57      0.69      0.00      0.00      0.00     40.77
06:33:47 PM      eth5  70112.00      0.00 102292.31      0.00      0.00      0.00      0.00     83.80
06:33:47 PM     wlan0      2.00      0.00      0.09      0.00      0.00      0.00      0.00      0.00

06:33:47 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:48 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:48 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:48 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:48 PM      eth0   1227.00     11.00   1784.44      0.56      0.00      0.00      0.00      1.46
06:33:48 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:48 PM      eth2  47994.00   1501.00  65834.86     93.81      0.00      0.00      0.00     53.93
06:33:48 PM      eth3  66721.00      9.00  98126.78      0.56      0.00      0.00      0.00     80.39
06:33:48 PM      eth4  68637.00      0.00 100944.65      0.00      0.00      0.00      0.00     82.69
06:33:48 PM      eth5  68898.00      1.00 100519.71      0.06      0.00      0.00      0.00     82.35
06:33:48 PM     wlan0      1.00      0.00      0.04      0.00      0.00      0.00      0.00      0.00

06:33:48 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:49 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:49 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:49 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:49 PM      eth0  21973.00      0.00  32228.52      0.00      0.00      0.00      0.00     26.40
06:33:49 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:49 PM      eth2  58277.00   1726.00  79941.06    107.88      0.00      0.00      0.00     65.49
06:33:49 PM      eth3  45125.00    656.00  66364.07     41.00      0.00      0.00      0.00     54.37
